Uni , Enrollment 
McEwan University ,12693
University of Alberta ,29814
University of Calgary ,26182
University of Lethbridge ,7649
Simon Fraser ,12919
Thompson Rivers Univeristy ,8317
University of British Columbia ,38417
University of Victoria ,14631
University of Winnipeg ,7542
University of Mantioba ,22456
Dalhousie University ,13615
Saint Mary's University ,5474
McMaster University ,28900
Queen's University ,21400
University of Ottawa ,31700
University of Toronto ,65600
Univerity of Waterloo ,33100
York University ,42900
Concordia University ,21278
McGill University ,23907
Universite de Montreal ,25689
Universite du Sherbrooke ,11973
Universite Laval ,22155
University of Regina ,9822
University of Saskatchewan ,16805
